yarn_weight, yardage_adult_sweater, meterage, yarn_weight
"Fingering","1600–2400 yd","1460–2190 m","365–550 g"
"DK / Sport","1200–1800 yd","1100–1650 m","440–660 g"
"Worsted / Aran","1000–1800 yd","900–1650 m","450–825 g (≈ 5–9 × 100 g skeins)"
"Bulky / Chunky","600–1000 yd","550–900 m","460–820 g"
